file_name,label_kor,label_eng
000101,깔끔하고 밝은 하늘색 배경에 흰색 우드 서랍장이 놓여져 있다.,"A white wood drawer is placed on a clean, bright sky blue background."
000102,따뜻하고 보통 조명 속 갈색 벽지에 책장이 걸려있다.,"A bookcase is hung on a warm, usually brown wallpaper in the light."
000103,편안하고 따뜻한 분위기의 하얀 벽에 서랍장이 걸려있다.,There is a drawer hanging on the white wall in a comfortable and warm atmosphere.
000104,흰 베이지 나무 테이블 위 밝은 조명 속 화장품이 놓여있다.,Cosmetics in bright lights are placed on the white beige wooden table.
000105,어둡고 편안한 검은색 배경 속 투명한 유리 공예품이 서있다.,A transparent glass artifact stands in a dark and comfortable black background.
000201,평화롭고 잔잔한 연보라 배경의 나무 테이블 위 무드등이 은은하게 빛나고 있다.,The mood light on the wooden table with a peaceful and calm light purple background shines subtly.
000202,차갑고 어두운 회색 조명 속 흰 벽을 바탕으로 조명등이 걸려있다.,"Light lights are hung based on the white wall in the cold, dark gray light."
000203,어둡고 편안한 암녹색 부드러운 커튼을 배경으로 전구가 빛나고 있다.,"The light bulb is shining against the backdrop of dark, comfortable, dark green soft curtains."
000204,따뜻하고 차분한 밤색 벽돌을 배경으로 전구가 은은하게 빛나고 있다.,The light bulb shines subtly against the backdrop of warm and calm chestnut bricks.
000301,편안하고 자연적인 분위기 속 화분이 돌계단 위에 놓여있다.,A flowerpot in a comfortable and natural atmosphere is placed on the stone steps.
000302,밝고 깔끔한 베이지색 종이 위에 색연필이 놓여있다.,"A colored pencil is placed on a bright, neat beige paper."
000304,어둡고 편안한 남색 배경 속 조명등이 나무 테이블 위에 놓여있다.,Light lights in a dark and comfortable navy background are placed on a wooden table.
000401,모던하고 투명하며 밝은 배경 위 향수가 정면으로 놓여있다.,"A modern, transparent, and bright background perfume lies squarely."
000402,하늘빛 물과 꽃이 있는 밝은 배경에서 향수가 정면으로 놓여있다.,"In a bright background with sky-blue water and flowers, perfume lies squarely."
000403,모던하고 깔끔한 보통 귤색 배경에 향수가 놓여있다.,Perfume is placed on a modern and neat plain orange background.
000501,편안하고 깔끔한 흰색 배경에 향수가 놓여있다.,Perfume is placed on a comfortable and neat white background.
